twitter_handle,party,twitter_id
AGBecerra,Democratic Party,133832049
AlanGrayson,Democratic Party,41017380
AngusKing2018,Democratic Party,1068540380
BrownforMD,Democratic Party,1378000346
BarbaraBoxer,Democratic Party,15939889
BenCardinforMD,Democratic Party,278094476
BennieGThompson,Democratic Party,82453460
BernieSanders,Democratic Party,216776631
BettyMcCollum04,Democratic Party,516880804
BillPascrell,Democratic Party,74508260
Bob_Casey,Democratic Party,94154021
BobbyScott,Democratic Party,161791703
Booker4Senate,Democratic Party,1603426344
BradSherman,Democratic Party,30216513
Call_Me_Dutch,Democratic Party,305620929
ChrisCoons,Democratic Party,15324851
ChrisMurphyCT,Democratic Party,150078976
ChrisVanHollen,Democratic Party,18137749
WhipClyburn,Democratic Party,188019606
CongressmanRaja,Democratic Party,814179031956488192
RepRaulRuizMD,Democratic Party,1089859058
CoryBooker,Democratic Party,15808765
DWStweets,Democratic Party,115979444
DianneFeinstein,Democratic Party,378631423
DickBlumenthal,Democratic Party,102477372
DickDurbin,Democratic Party,308794407
DonaldNorcross,Democratic Party,3122099613
DorisMatsui,Democratic Party,38254095
EdMarkey,Democratic Party,1129029661
EleanorNorton,Democratic Party,23600262
EnergyDems,Democratic Party,277124730
FrankPallone,Democratic Party,31801993
GKButterfield,Democratic Party,432676344
GerryConnolly,Democratic Party,78445977
HELPCmteDems,Democratic Party,1262362578
HeidiHeitkamp,Democratic Party,460376288
HillaryClinton,Democratic Party,1339835893
HouseDemocrats,Democratic Party,43963249
JECDems,Democratic Party,116505994
JacksonLeeTX18,Democratic Party,80612021
JeanneShaheen,Democratic Party,14125897
JeffMerkley,Democratic Party,223166587
JimLangevin,Democratic Party,18909919
JoaquinCastrotx,Democratic Party,231510077
JoeManchinWV,Democratic Party,113355380
JohnCarneyDE,Democratic Party,237770636
JuliaBrownley,Democratic Party,44251742
JuliaBrownley26,Democratic Party,923251678652043269
KamalaHarris,Democratic Party,30354991
LacyClayMO1,Democratic Party,584912320
LloydDoggettTX,Democratic Party,170111219
LorettaSanchez,Democratic Party,108376246
MariaCantwell,Democratic Party,35567751
MarkWarner,Democratic Party,7429102
MartinHeinrich,Democratic Party,1099199839
McCaskillOffice,Democratic Party,57065141
Menendez4NJ,Democratic Party,996468784469889024
MurrayCampaign,Democratic Party,158470209
SpeakerPelosi,Democratic Party,15764644
NelsonForSenate,Democratic Party,555355209
NitaLowey,Democratic Party,221792092
NormaJTorres,Democratic Party,236279233
NydiaVelazquez,Democratic Party,164369297
PattyMurray,Democratic Party,293131808
PeterWelch,Democratic Party,1410590874
RepAdamSchiff,Democratic Party,29501253
RepAdamSmith,Democratic Party,58928690
RepAlGreen,Democratic Party,156333623
RepAlLawsonJr,Democratic Party,818472418620608512
RepAndreCarson,Democratic Party,199325935
RepAnnaEshoo,Democratic Party,249348006
RepAnnieKuster,Democratic Party,1058717720
RepBarbaraLee,Democratic Party,248735463
RepBarragan,Democratic Party,816833925456789505
RepBeatty,Democratic Party,1531521632
RepBera,Democratic Party,950783972
RepBetoORourke,Democratic Party,1134292500
RepBillFoster,Democratic Party,1080509366
RepBobbyRush,Democratic Party,305216911
RepBonamici,Democratic Party,558769636
RepBonnie,Democratic Party,2968451607
RepBradAshford,Democratic Party,2964351843
RepBrendanBoyle,Democratic Party,231108733
RepBrianHiggins,Democratic Party,33576489
RepCarbajal,Democratic Party,816157667882373120
RepCardenas,Democratic Party,1222257180
RepCartwright,Democratic Party,776664410
RepCharlieCrist,Democratic Party,816030424778543104
