,screen_name,stance,med
0,WRAL,0,False
1,TimRotunda,1,False
2,FOX46News,1,False
3,Evelyn31721,0,False
4,wetaber,0,False
5,tunnell55,0,False
6,Dereklowe,0,False
8,NanHayworth,-1,True
9,WatsonClark_,-1,False
11,dreamgirls,0,False
13,Ibis_Rider,0,False
14,IBTimes,1,False
15,fpizart,0,False
16,EMDocJosh,1,True
17,misterchambo,1,False
18,newsfilterio,0,False
19,lyndonallydice,1,False
20,RaleighBlogBot,0,False
21,WNCN,0,False
22,jung_gt,0,False
23,keltweets_d,1,False
24,WmHaseltine,-1,False
25,Whygrowgrass,1,False
26,Alicia_Smith19,1,False
27,ElaineInKCMO,1,False
28,MurphinDC,1,False
30,LtAndyNorris,0,False
31,ekgibbons,1,False
32,Roxanne94861832,-1,False
33,JimColl00201101,0,True
34,TimRotunda,0,False
35,Ibis_Rider,1,False
36,RepublicanCory,1,False
37,WRALTechWire,0,False
38,andy_levey,0,False
39,georgegallagher,0,False
40,LtAndyNorris,1,False
41,TimRotunda,0,False
42,jlangley325,1,False
44,workentin,1,True
45,CaliVaxChoice,-1,False
46,ICCRonline,0,False
47,DennisJSchmidt,0,False
48,ozzb____,0,False
49,DrGlennJohnson,0,False
50,interwovenweb,0,False
51,velocirapture23,0,False
52,WisconsinIAC,1,False
53,MFreedom2020,-1,False
54,Alpha_Bronze,1,False
55,emyslymi,0,True
56,CSCooker,1,False
57,DannyG158,1,False
58,Adrian_H,1,False
60,PTrooth,1,False
61,EricHamell,0,False
62,DeanBaker13,0,False
63,dpieski,-1,False
64,ghiasahmed,0,False
65,CatholicLady10,-1,False
66,PaulAnuschat,-1,False
67,BhadeliaMD,1,False
68,AmerHeroesRadio,0,False
69,CHCNAACP,0,False
70,mychesco,0,False
71,thenewsoncnbc,0,False
72,StuartSkinner11,0,False
73,SeekingAlpha,-1,False
74,nonviolentnews9,-1,False
75,DR_ILL,0,False
77,PatrickTineo24,0,False
78,BryanFavata,-1,False
81,ej23ny,-1,True
82,swmolecular,-1,False
83,ms101phd,1,False
85,mrzoriley,0,False
86,TonyFauci2,0,False
87,ScotCharlotte,-1,False
89,su_reaney,0,False
90,Alpha_Bronze,1,False
92,MichaelCMcKee,0,False
93,GGunthorp,1,False
94,dancolasanti,0,False
96,ImLaurieS,0,False
97,pintoproblem,-1,False
98,Alicia_Smith19,1,False
