,screen_name,stance,med
0,philipM21152135,-1,False
1,raplineTam,1,False
2,TonyFauci2,-1,False
3,FauvJohn,0,False
5,JasonSCSM,-1,False
6,LisaAHumphries,1,False
7,aetioninc,0,False
9,JennaMillerKC,1,False
10,AmberForIowa,1,False
11,WxlvesO,-1,False
12,GBMillennial,-1,False
13,jung_gt,0,False
14,YoDoctorYo,1,True
15,VSNMaryland,0,False
16,HCPro_Inc,0,False
17,TonyFauci2,-1,False
18,jaimy_lee,1,False
19,farid__jalali,1,False
20,AllenElledge3,1,False
21,kenyonfarrow,-1,False
22,RahmAntics,0,True
24,DrDaleNeedham,0,False
25,MapleSyru_p,1,False
26,KOCOAbigail,1,False
27,Saffta,1,False
28,MedicalRedhead,1,False
29,JDeWPerry,0,False
30,Oscar08534731,-1,False
32,pamgray55,0,False
34,Eddie_O_D2002,1,False
36,spennington33,1,False
37,DCNATIVE8,0,False
38,jelfrank,-1,False
39,ambmontana,0,False
40,SacCIO,0,False
41,DavidBegnaud,1,False
42,BrianMusick,0,False
43,mmaleissa,0,False
44,JustGAPeachy523,1,False
45,FranciscoMarty_,0,True
46,fpizart,1,False
48,DonDonDJ4,0,False
50,lawofone_,1,False
51,hyoomen,-1,False
52,sfbionetwork,0,False
53,ClinicalOMICs,0,False
54,__ice9,1,True
55,DoctorElliottBG,0,True
56,JPeregoyIII,1,False
57,EmanuelDerman,1,False
58,EntScoop,-1,False
59,lisamjarvis,0,False
60,rmchavin,1,False
61,danielballard,1,False
62,Eddie_O_D2002,1,False
64,rgupta729,-1,True
65,jeremyhsu,1,False
66,ReutersWorld,0,False
68,medicalbag,0,True
69,AliceTinker1943,-1,False
70,ColoradoSun,0,False
71,ChlordaneXXX,0,False
72,CarlosdelRio7,1,False
73,NformedInvestor,-1,False
74,Captain__Google,1,False
75,HenleyHornet,1,False
76,peterpham,1,False
78,peterpham,0,False
80,judyprgirl,0,False
81,pharmacists,1,False
82,UF_IDGM,1,False
83,MirrorManStan,0,False
84,AcpIndiana,0,True
85,hlgreenberg,1,False
86,AshleyOvery,1,False
88,jlbouchard001,0,False
89,rmchavin,1,False
90,rheault_m,1,False
91,twellness,0,False
92,RizwanSohailMD,-1,False
93,pet45061474,1,False
94,ZeroPatientHarm,0,True
95,indepen27503448,1,False
97,vegsource,1,False
98,RetroVirox,1,False
99,jennifer_rileyx,0,False
100,carsondavid__2,0,False
101,SteveVicious,1,False
102,EmPRO_Insurance,1,True
103,Live_News_Nick,1,False
104,NephronGeoffron,0,True
105,TonyFauci2,0,False
107,PearlF,1,False
108,Will_A_Huang,0,False
109,Dan_Donovan_17,1,False
110,eemoin,1,True
111,ChlordaneXXX,1,False
112,newsfilterio,0,False
113,JerroldLevy,0,True
114,adamAuntieEm,-1,False
115,drugbuster21,0,False
116,young_antoi,-1,False
117,lacey9020,-1,False
118,TaxiCabJesus,-1,False
119,itscmonsta,-1,False
120,Black_Atheists,1,False
121,sanjaygg,1,False
122,ALavellee,-1,False
123,RyanToh11,0,False
124,Momx4x6,1,False
125,Debfornow,1,False
126,catsmeow29,1,False
129,dreaminpdx,-1,False
131,modern_hipyie,0,False
132,ReutersWorld,1,False
133,vaccineguru,1,False
134,NidaQadirMD,1,False
135,TerriE1001,1,False
136,kookiesgoat,0,False
138,InfectiousPharm,0,False
139,ConquerCovid_19,1,False
140,OhioAcp,0,False
141,jwdaddy80,0,False
142,Cara_TXZEAL,-1,False
143,dcexaminer,1,False
144,KatherynScott,1,True
145,truemukta,1,False
146,TheBakerCo,0,False
147,shaw_tyna,0,False
148,AlecGaffney,0,False
149,medigrl,0,False
150,DavidCaddell3,0,False
151,JoannaTierno,0,False
152,GenovevaUzunov1,0,True
153,silverncopper,1,False
154,RandRCigars,0,False
155,WildAboutHarry9,1,False
156,Minuteman999,0,False
157,the1MelissaC,-1,False
158,GhanaboyPharmd,-1,False
160,ChristieIn16,0,False
161,jilldeedee,0,False
162,davidwwhitlock,1,False
163,kathrynw5,1,False
164,morphonios,-1,False
165,DrSimone,0,False
166,IndianaCTSI,0,False
167,LarrinkaW,1,True
168,KristleLynchMD,1,False
169,Neil_Mehta,1,True
170,NoelinSD,0,False
171,PatriciaThom10,-1,False
172,RAMSEYUNKNOWN,-1,False
173,wybme,0,False
174,FamilyAndFuture,1,False
175,kittensdog,-1,False
176,RonnRonnVigh,0,False
177,dcexaminer,1,False
178,DanRadzikowski,1,False
179,chadwickity,0,False
180,GJohnGarrett,1,False
181,rchinnis,1,False
182,EC3Health,0,False
183,Shawn00Guerra,1,False
184,csl_vi,0,False
187,kungfuqua,0,False
188,web61,-1,False
189,bloatedlesbian,1,False
194,MedicalLetter,1,False
195,adeelbutt_MD,1,True
196,Dan_Donovan_17,-1,False
197,jofuntimes,1,False
198,paulksue1,0,True
199,kittensdog,1,False
200,SLUResearch,0,False
201,Philly_Weather1,1,False
202,jofuntimes,1,False
203,jofuntimes,1,False
204,jofuntimes,1,False
205,NIH,1,False
206,NYTHealth,-1,False
207,jofuntimes,1,False
208,WDHN,1,False
209,linda72135856,-1,False
210,TheReallMrDean,1,True
211,jofuntimes,1,False
212,LuciannaLiSacch,-1,False
213,kevingreggmd,1,False
214,alacilento1,1,False
215,AbraarKaran,1,True
216,jofuntimes,1,False
217,soyceman,1,False
218,tatn,-1,False
219,MarkHoofnagle,1,True
220,michaellevine2,-1,False
221,pdougmc,-1,False
222,susanda02581750,-1,False
223,putnamcobrapuma,1,False
224,unfollow45trump,-1,False
225,ABXshroballa,1,False
227,TheWrap,1,False
228,stickerdujour,0,True
230,Neeraj_Kumar222,1,True
231,REllis_thinks,-1,False
232,anna_levata,1,False
233,tammytabby,1,False
234,daleundetected,0,False
235,DoctorJesseMD,-1,True
236,FranciscoMarty_,0,True
237,FOHMaster,-1,False
238,sdfannon,-1,False
239,NYTScience,-1,False
240,jofuntimes,1,False
241,jofuntimes,1,False
242,jofuntimes,1,False
243,jofuntimes,1,False
244,ShepardMedical,0,False
245,u_nebraska,0,False
246,newsfilterio,1,False
247,abhavsar,1,False
248,kittensdog,-1,False
249,ArielCohen37,0,False
250,DoodlesTrks,0,False
251,PharmPracNews,-1,False
252,dremilyportermd,-1,True
253,flowerpowernan,-1,False
254,trumpscarnage,-1,False
255,BradGeyer,0,False
256,REllis_thinks,-1,False
257,kath2cats,-1,False
258,SarahSaysHi2U,1,True
259,mefilms1,1,False
260,AFCaptainStraw,1,True
261,texastechalumni,0,False
262,Mae_Westside,0,False
263,mayatcontreras,1,False
264,AFCaptainStraw,1,True
265,AFCaptainStraw,1,True
266,MGHBWHIDFellows,0,False
267,AFCaptainStraw,1,True
268,Jacquel29654264,0,False
269,katherineglover,1,False
270,RIPNFL_,-1,False
271,ilagosian,-1,False
272,PhoenixArielle,-1,False
273,CarlosdelRio7,-1,False
274,SMuggington,0,False
276,Avalonsmyst,-1,False
277,JWatch,1,True
278,AFCaptainStraw,1,True
279,DPMP_UNC,0,False
280,AFCaptainStraw,1,True
281,Ken_Kiyama1,0,False
282,MRSHERN42561581,1,False
283,richpizzi,-1,False
284,Maximo_thoughts,1,False
285,AFCaptainStraw,1,True
286,RBTrepessa,1,False
287,boulware_dr,0,True
288,AmyAyers16,-1,False
289,HCREPORT2020,-1,False
290,alessandrobak,0,False
292,AndyKnny,0,False
293,Evie_Calling,0,False
295,Medscape,0,False
297,AFCaptainStraw,1,True
298,ThipL12,1,False
299,kennyjacobs,1,False
300,DiazHub,0,False
301,IDSE_Online,-1,False
302,rawalmd,-1,False
303,medpagetoday,-1,False
304,sevbo,1,False
305,DyMdillon,1,False
306,BioOptimist,0,False
307,markzorromz,1,False
308,RamyRahme,0,False
309,ColoradoSun,-1,False
310,CNemehMD,0,False
311,geraldposner,-1,False
312,DrChoueiri,0,False
315,ftlpaul8,1,False
316,ReutersWorld,0,False
317,matthew_piper,-1,False
318,mkultranews,1,False
319,edgarvlermamd,0,False
320,CBSDenver,0,False
322,Contagion_Live,1,False
323,alex_burness,1,False
324,OSAPtweets,1,False
325,SCCR_Stanford,0,False
326,RogerDJones1,0,False
327,DebBeatty1,1,False
328,nephondemand,0,False
330,Rick82Ramirez,0,False
331,EMcritRX,0,False
332,ecobearwitness,1,False
333,almostsinglemom,0,False
334,LCalabreseDO,0,False
335,DailyMail,0,False
336,KerryPicket,0,False
337,ScottFranz10,1,False
338,UMN_DOMResearch,1,False
339,CindyPhyillaier,0,False
340,SarahSaysHi2U,-1,True
341,kalyx2020,1,False
342,jojokejohn,-1,False
344,JulieMHolcomb,0,True
345,ClinicalOMICs,0,False
346,DirkMcCoy,1,True
347,HelenBranswell,0,False
348,JoeBabaian,1,False
349,blairmiller,1,False
350,nurseypaula,-1,True
351,JPeregoyIII,-1,False
352,TruBluDevil,1,False
353,RobinJa54421352,1,False
354,CCIVoice,-1,False
355,VivekSubbiah,0,True
356,ftlpaul8,-1,False
357,smaddoxsr,1,False
358,MJBurkMD,1,True
359,EmoryOTT,1,False
360,Prubenm1234,-1,True
361,KMurakamiLab,0,False
362,UBuffalo,0,False
363,ellyw72,0,False
364,AmyBurkNews,-1,False
365,Paula4Lukas,0,False
366,JessicaGKwong,-1,False
367,SCCM,0,False
368,midsouthdiva,0,False
369,FordLeatrice,1,True
370,DonDonDJ4,1,False
371,DonnaYoungDC,1,False
372,__ice9,0,True
373,lmkarin,1,False
375,deb_k_alex,1,False
376,olivier_patti,-1,False
377,coryMhale2pitt,0,False
378,karenbr77386898,1,False
379,basepaws,0,False
380,EpochTimes,1,False
381,Sharlaboo,-1,True
382,DelthiaRicks,-1,False
383,cookespring,-1,False
384,chungk1031,1,False
385,monitteh,0,False
386,jdensonMD,1,False
387,GotSkyHealth,1,False
388,adela_buzescu,-1,False
389,JAnthonyWare,0,False
390,PLMcCarthyMD,1,False
391,IshworDhungel,1,False
392,aahcdc,0,False
393,putnamcobrapuma,1,False
394,eeekster,1,False
395,smdnyc,1,False
396,MirrorManStan,-1,False
397,varmtr,0,False
398,jameswneal,1,False
399,NIAIDNews,-1,False
400,maryannaevans,1,False
401,ItsMisterWalker,1,False
402,generalturpen,1,False
403,nickmmark,1,False
404,77WABCradio,0,False
405,iu22ie33,1,False
406,smithie1,-1,False
407,danilynnguess,-1,False
408,DavidBegnaud,1,False
409,ADubiousPronoun,1,False
410,DoveMed,1,True
411,buckscountytax,-1,False
412,ASecondChance,-1,True
413,yoncabulutmd,1,True
415,1sthcc,0,False
416,BluesManStew,1,False
417,SteveBoyer5000,-1,False
418,BZBwoy,-1,False
419,FranciscoMarty_,0,True
420,DavidBegnaud,1,False
421,denise_cottec,1,False
422,gale25387,1,False
423,swedishchf,0,False
424,CrweWorld,0,False
425,scottybburg1,1,False
426,talkingtomasina,1,False
427,SpecialtyPharm,0,False
428,shoelover012,1,False
430,masletrasporfa,-1,False
433,Letterbomber,1,False
434,rbabanksoleprop,1,False
435,GeordieLas,1,False
436,Straticus2,1,False
437,HottestStockNow,1,False
438,barlondsmith,0,False
439,jreganwilliams,1,False
440,KetelerR,1,False
441,newsfilterio,0,False
442,margreis9,0,False
443,SamCaudell,1,False
444,RawlesLinda,1,False
447,EdCurry412,0,False
448,cjcfreedom,0,False
450,ftlpaul8,1,False
451,KetelerR,-1,False
