,twitter_id,screen_name,pred_gender,pred_org,pred_age,political_orientation
3,1322568743495569408,ThomasHarrigan8,male,non-org,19-29,neutral
4,49922681,SafariWoman,male,non-org,>=40,right
6,83210801,Dr_Aust_PhD,male,non-org,>=40,neutral
7,2279385774,johnnybgoode678,male,non-org,30-39,right
11,1138890976380899328,MichaelTopolov1,male,non-org,>=40,neutral
12,78787819,jennifer10010,female,non-org,30-39,left
19,1321583895528263682,Vikkiko1,male,non-org,30-39,neutral
23,26368450,PearlF,male,non-org,30-39,left
24,1148811029490442240,DorotheeFaille,female,non-org,30-39,neutral
26,1202085077276090369,ALavellee,male,non-org,30-39,left
41,94688863,GJohnGarrett,male,non-org,>=40,right
46,452036654,aktilaiyan,male,non-org,>=40,neutral
55,1260421146115219456,texastechalumni,female,non-org,>=40,neutral
57,1256267169953914882,LibertyChick6,female,non-org,30-39,right
61,3092148107,science_md,male,non-org,<=18,neutral
75,1213984862,espiteau,female,non-org,<=18,neutral
85,137303044,professorlungu,male,non-org,>=40,left
91,1964846970,yoncabulutmd,male,non-org,30-39,neutral
93,1324442946209341440,vermall1,male,non-org,<=18,left
99,894217392347381761,Maestermagoo,male,non-org,30-39,neutral
100,2829108074,Drnesari,male,non-org,>=40,neutral
103,1236097491675885570,drchapichapo,male,non-org,30-39,right
114,212141525,gooochin,male,non-org,<=18,neutral
118,428763068,triciajobrien,female,non-org,<=18,left
122,1563400362,jfdwolff,male,non-org,30-39,left
125,51343737,MyBrigitte,female,non-org,<=18,left
127,1312351416267075586,RVoszPhlebotomy,male,non-org,<=18,neutral
128,49972341,bestzeris,female,non-org,<=18,right
137,1274599584,benishii_,male,non-org,<=18,left
138,48110818,LizSzabo,female,non-org,>=40,left
144,85858174,piccolbo,male,non-org,>=40,neutral
145,79283209,mattpickell,male,non-org,30-39,right
146,50168806,TheDailyBunkum,male,non-org,30-39,neutral
150,1249719081131008001,katiekelly_kk,female,non-org,19-29,left
159,1237770777786712064,ReidMadelynn,female,non-org,30-39,left
167,23941190,here4younow,male,non-org,<=18,right
175,1328727907779436545,unewmeb41,male,non-org,>=40,left
187,101386226,360CNN,male,non-org,30-39,left
192,9369062,delmoi,male,non-org,19-29,left
195,132209059,Katenac,female,non-org,30-39,right
197,277129578,MrShaping,male,non-org,>=40,neutral
200,243964224,AmicusOpus,male,non-org,30-39,left
201,36362858,ClownBasket,male,non-org,<=18,right
203,1236359302786568193,JTheretohelp1,male,non-org,>=40,neutral
207,908418850307346432,ChrisNorton777,male,non-org,>=40,right
208,1273994383029866496,84RomeoTango,male,non-org,30-39,right
218,54713950,thekelvarnsen,male,non-org,<=18,right
222,34715974,keithccurtis,male,non-org,>=40,right
224,1438844239153074177,YoopBeau,male,non-org,<=18,left
225,1534927682,therealGMoody,male,non-org,>=40,right
228,901482819804950528,KHDoucette,male,non-org,<=18,neutral
229,238900982,OshZosh,male,non-org,19-29,neutral
232,724342718713892864,Detrieman,male,non-org,>=40,left
233,80056079,GingerJonestein,male,non-org,30-39,right
234,1416273593072164867,JaredStuart11,male,non-org,30-39,left
236,346353214,machowarrior,male,non-org,<=18,right
237,1281241282980036609,h2UlvR5Mu1muKka,male,non-org,<=18,right
239,34791142,angelsboo247,female,non-org,30-39,right
242,1404990105257795584,CoopDeville_III,male,non-org,>=40,neutral
243,775749124641652737,picwhisperer,male,non-org,30-39,left
244,1274711087246606337,erin_VMD,female,non-org,30-39,left
246,1382393146856787969,ElvisBaker9,male,non-org,19-29,right
247,1422364792787030019,KellyGardin,female,non-org,19-29,right
248,3929161,inertia186,male,non-org,<=18,right
249,463475284,AttyErinS,female,non-org,>=40,left
251,66590126,ladybugpicnics,female,non-org,<=18,left
253,779492791915278336,itisNilDesperan,male,non-org,30-39,left
257,1250873049664163840,HairBiden,male,non-org,<=18,right
259,1405200494847483905,dicklather,male,non-org,30-39,neutral
261,374708799,pogo_phan,male,non-org,30-39,neutral
262,1413733203563614212,VeritasMarcus,male,non-org,30-39,right
268,33780708,poorcanuck,male,non-org,30-39,right
271,2301628435,AviFlyGirl,female,non-org,30-39,left
272,980132393322414081,JefinnerNoha,female,non-org,>=40,right
276,122587106,mjmajewski,male,non-org,30-39,left
278,1396900999399448589,Barbara15729050,female,non-org,>=40,right
279,1071164794563166209,RajlabN,male,non-org,>=40,right
282,76369819,twp459,male,non-org,>=40,right
283,48724365,catleeroy,female,non-org,30-39,right
284,1291309125293551617,TvFan22244419,male,non-org,>=40,neutral
288,2751536594,rotepille,male,non-org,>=40,neutral
289,1233911463804391429,realchellie,female,non-org,<=18,right
293,25359516,keywestjoan,male,non-org,<=18,right
295,1274765036024717314,christinewoke,female,non-org,>=40,right
298,342955623,SoloVoc,female,non-org,30-39,right
299,4234125614,aphrodite891,male,non-org,>=40,right
303,91677263,everygamer,male,non-org,30-39,left
308,1220134616566304768,darek_cz,male,non-org,19-29,right
310,306320212,Vannyamoto,male,non-org,30-39,neutral
312,1433469746201042945,JPark86082622,male,non-org,>=40,neutral
314,1233559248761741312,mrRomulus2,male,non-org,>=40,right
315,901706173,LadyAg72,female,non-org,>=40,right
317,1436030029931163648,DebraKC56,female,non-org,>=40,right
322,623519705,ashleydempsey27,female,non-org,<=18,right
324,1357867048110608384,WBoone3400asl,male,non-org,>=40,right
325,1035966863308718080,GlynisFilyaw,female,non-org,<=18,right
326,902991228643540993,Starbaiber,female,non-org,<=18,neutral
329,1344959352554348544,creatureduchaos,female,non-org,<=18,neutral
332,87425704,KlausKblog,male,non-org,>=40,right
334,14561103,fneudecker,male,non-org,<=18,right
335,105226269,FightersIntel,male,non-org,>=40,right
339,1405236289797079047,DVa_inNC,male,non-org,>=40,left
342,20347270,tyrannomac,male,non-org,30-39,right
343,1373115288003153920,LisaRam24004779,female,non-org,30-39,right
345,755970,TermStayRes,male,non-org,30-39,left
349,236811110,Linsey74,female,non-org,30-39,left
351,15756013,wanamoka,female,non-org,>=40,left
353,1020774478601760768,Lori19682683,female,non-org,>=40,right
355,14352000,Abbreviated,male,non-org,>=40,right
357,25406480,cmencke,male,non-org,>=40,right
360,1346183793238020098,Calvin61755101,male,non-org,>=40,right
361,238707012,GiddyupinG,female,non-org,>=40,right
364,1939697004,DonkeyKonging,male,non-org,30-39,right
367,470472472,mary_shubert,female,non-org,<=18,right
368,1727359892,gittletron,male,non-org,19-29,left
370,853212318129430528,prence_emm,male,non-org,<=18,neutral
371,606135759,VictorLicata1,male,non-org,>=40,left
372,4013970386,JaraWilliams3,female,non-org,>=40,left
373,2843926112,benp7777,male,non-org,>=40,left
376,2729193087,webb4brevard1,male,non-org,>=40,right
380,3018989719,cjkovalic,male,non-org,<=18,left
381,898389602091716610,jeremyhartillos,male,non-org,>=40,right
387,1390288802770530316,JackSpa58962185,male,non-org,>=40,left
388,1371549511865208837,AlversonSusie,female,non-org,>=40,right
390,2869973553,brianslionsblog,male,non-org,30-39,left
392,352487517,traik01,male,non-org,>=40,left
393,1141556448222035968,SandraLeeStewa2,female,non-org,19-29,right
394,1314414514503323648,OMG_Chronicles,female,non-org,>=40,right
395,3492101296,GarverLake,male,non-org,>=40,right
398,1429860996164685828,jenbarrios12,female,non-org,19-29,right
401,219894422,gergosaur,male,non-org,<=18,right
403,708814448459276288,JJA1958,male,non-org,>=40,right
407,1269779420543320068,Mollyb36968024,female,non-org,<=18,right
408,18322943,shellig,male,non-org,>=40,right
409,1301699121825357824,SspxOnly,male,non-org,>=40,right
412,113364437,krismheuer,male,non-org,>=40,right
413,852331063615430656,antinodales,male,non-org,19-29,neutral
414,35313099,jamie_generic,male,non-org,19-29,right
417,798138990,GeriMonsen1,male,non-org,<=18,left
419,416608486,judystout1,female,non-org,>=40,left
420,236731015,brooklynux,male,non-org,<=18,left
422,61913539,Imforthewhales,male,non-org,>=40,right
423,120831312,kathydopp,female,non-org,>=40,neutral
425,787321,MaxDWolf,male,non-org,>=40,left
426,4646178134,pusiek321,female,non-org,30-39,neutral
427,761222686899068936,LockpickMind,male,non-org,>=40,neutral
430,23378226,Patriotism1788,male,non-org,30-39,right
432,1399445216,kerivvy,male,non-org,>=40,left
434,35535969,jeeezelouise,female,non-org,19-29,right
435,2856132302,Drtomfoolery82,male,non-org,30-39,right
437,49424542,u2biker,male,non-org,>=40,neutral
439,3678535755,tomvincze,male,non-org,>=40,neutral
440,1357470929152954373,Deborah41670304,female,non-org,<=18,right
443,1342436090649735168,van97298936,male,non-org,>=40,left
445,1281660648,peacepumpkinpic,male,non-org,>=40,left
446,1421629984716705795,SamuelFelcher,male,non-org,19-29,right
449,41355561,LBAllen301,male,non-org,>=40,right
450,1202335894738554881,MichaelNey19,male,non-org,>=40,left
451,16923544,luzbek,female,non-org,>=40,right
454,1427962709287575555,DougD42,male,non-org,30-39,right
455,1959929138,efinikiotis,male,non-org,19-29,neutral
456,242781127,Scott_Az,male,non-org,>=40,neutral
458,1426143771750662157,kingofsorrow2,male,non-org,>=40,right
459,89217931,mevans4900,male,non-org,<=18,right
460,1435322288979668998,FoglePiper,male,non-org,<=18,right
461,2381861546,FFrabanal,male,non-org,19-29,neutral
466,1427753210240983042,kozisox5,male,non-org,19-29,right
467,86024141,shockadelicaust,male,non-org,30-39,right
470,783002000,picky1313,male,non-org,>=40,right
472,598422489,MarkTheRustic,male,non-org,>=40,right
473,30284981,meofcourse77,male,non-org,>=40,right
475,1429661796680585218,GEdwards2021,male,non-org,<=18,left
480,994019064639967233,kevinrsours,male,non-org,30-39,neutral
484,2261522710,Hughesology,male,non-org,>=40,right
486,1350591756279144453,LucidUnity0,male,non-org,19-29,right
487,1065629299187757056,mendonesiac,female,non-org,<=18,left
490,290825870,Prince_Marcel,male,non-org,19-29,left
492,1269581781201752065,Abby04233774,female,non-org,>=40,right
499,1266008391496814600,1999Luthra,female,non-org,19-29,neutral
500,1279602246632632320,Suhasagri,female,non-org,19-29,neutral
505,17925957,berezina,female,non-org,<=18,neutral
507,1664876341,simplekaulpics,female,non-org,30-39,neutral
512,3057233310,_FahimUddin_,male,non-org,19-29,neutral
515,2898714775,TastingTraffic,male,non-org,30-39,neutral
518,47914933,sunilbhatt5,male,non-org,30-39,neutral
522,1415669757336985601,FlimFlamMan9,male,non-org,30-39,right
530,1157107216828289024,Overthetarget3,female,non-org,>=40,right
534,6955212,c50cub96,male,non-org,19-29,neutral
538,69149288,SueA4,female,non-org,>=40,right
539,152847542,leislgirl,female,non-org,30-39,left
540,866960653,Lissthesassy,female,non-org,30-39,left
543,249688158,BassinHawg,male,non-org,<=18,neutral
545,37537400,ahmedaba27,male,non-org,30-39,left
552,992380928,MahakArora9,male,non-org,<=18,neutral
555,77990357,manigreeva,female,non-org,30-39,neutral
557,213754897,sanjayjiffy,male,non-org,>=40,neutral
566,786448846318473216,indiclogic,male,non-org,>=40,left
567,2250193009,PTKR_10,male,non-org,>=40,left
571,1258454329154875393,Mostly_Sane24,male,non-org,19-29,left
572,3004725015,SiyamBhuiyan_,male,non-org,19-29,neutral
575,959791055293034496,jain_mehal,male,non-org,19-29,neutral
576,555337622,JeanneBartram,female,non-org,19-29,left
587,2511555518,TypicalTaurian,male,non-org,>=40,neutral
594,56971231,PranavShah308,male,non-org,<=18,left
598,1380379091052990467,KarnaniAnisha,female,non-org,<=18,neutral
604,105823093,tweetniral,male,non-org,<=18,neutral
613,446496218,MrSamanSingh,male,non-org,30-39,left
614,103279348,sharmatanuj,male,non-org,>=40,neutral
617,1033816999862792192,ProfSK5,male,non-org,>=40,neutral
620,1324738356522090496,B6VECcNetVjoam7,male,non-org,<=18,neutral
622,74736656,adi_gupta_,male,non-org,<=18,left
625,1349649811490762752,HeavenlyMase,female,non-org,<=18,neutral
633,515565624,kevin88chris,male,non-org,30-39,neutral
636,1314520626200154112,girlyyggirl,female,non-org,<=18,neutral
644,761902711,draghafur,male,non-org,>=40,neutral
652,51712239,darklordkk,male,non-org,30-39,neutral
653,701951194432937984,elspence333,male,non-org,>=40,right
656,113891892,drcnpkaran,male,non-org,<=18,neutral
657,3097146398,reachcsrini,male,non-org,>=40,left
658,137277627,swarajsb,male,non-org,>=40,neutral
659,1225626054972313600,Drea_got_rage,female,non-org,<=18,left
660,155705317,realsaurabh1991,male,non-org,<=18,neutral
670,709322119587336192,DrJagdishChatur,male,non-org,>=40,neutral
672,4364471293,impdataimpdata,male,non-org,<=18,neutral
684,99807166,GeralynCat,female,non-org,<=18,right
685,1903101824,SmthngSinisteR,male,non-org,<=18,right
686,82486155,jplatt96,male,non-org,<=18,right
688,1381672896473526275,RNlize,male,non-org,>=40,right
690,1382334484972965894,Suspici07891401,female,non-org,<=18,right
692,238001592,ollipto,male,non-org,30-39,neutral
694,273231152,kimtpicc,female,non-org,>=40,right
695,1317918488774705155,Reflective18,male,non-org,<=18,neutral
700,1027271728429494272,MaryBla48108306,female,non-org,<=18,neutral
701,391522328,ToriaMart,female,non-org,<=18,right
707,1261705617548259328,SerriehJoanne,female,non-org,19-29,neutral
708,28011048,lmposey,female,non-org,<=18,neutral
710,1305790360845778944,KRISHANMOHANKR6,male,non-org,<=18,left
714,1338590379961065472,girly_GRRRL,female,non-org,>=40,left
716,20164145,GlenBradley,male,non-org,>=40,right
718,4662786554,nataraj_tamilan,male,non-org,<=18,neutral
719,246943012,DarshanNPopat,male,non-org,>=40,neutral
720,189746982,anvaya_anand,male,non-org,30-39,neutral
722,1411536198,rapid_rar,male,non-org,<=18,neutral
724,2857037954,Missmeme62,female,non-org,<=18,right
726,35577079,braverboy,male,non-org,>=40,left
728,260830552,happyjersey,male,non-org,30-39,left
729,1427589915693305859,DaniBel73,male,non-org,30-39,right
730,1240929573480607744,Lalawor86273129,female,non-org,<=18,right
734,1256755483714752515,hectic_energy,female,non-org,30-39,neutral
736,1692751662,Mi_St526,male,non-org,30-39,left
738,525574638,JaredMercier,male,non-org,30-39,right
746,567638668,Timmy33655,male,non-org,30-39,neutral
775,59015205,mrsgreenberg,female,non-org,30-39,left
787,92954993,Method8Corp,male,non-org,30-39,neutral
797,1299177956,angsumanch,male,non-org,30-39,neutral
799,17084854,charlesazorn,male,non-org,>=40,left
800,15174247,chrisprice,male,non-org,30-39,right
802,3262482834,cmccone26,male,non-org,<=18,left
806,424612297,TheSpiceQueen_,female,non-org,<=18,neutral
807,15561794,Alex_Albert,male,non-org,<=18,neutral
813,215685563,ashwani_mahajan,male,non-org,>=40,left
814,52784978,hinsuke,male,non-org,<=18,right
818,309213767,bonsplans22,male,non-org,<=18,neutral
823,1004458652256882688,Nicksnews12,male,non-org,<=18,left
841,15079601,The_Real_Fly,male,non-org,<=18,neutral
846,311618496,bharat_builder,male,non-org,30-39,left
857,635656944,TuzaraPost,female,non-org,>=40,right
860,806157870,KeepingitGOP,male,non-org,30-39,right
864,126903762,SAREYELDIN,male,non-org,30-39,right
868,954134423494152192,i_me_sandy,male,non-org,30-39,right
877,75824205,mariuscalin,male,non-org,>=40,left
884,1639395961,EthanObama,male,non-org,<=18,left
898,1162111357,nikki_miumiu,female,non-org,<=18,right
899,27860326,twitmed,male,non-org,<=18,left
905,1133421011389566976,TruckerWolfpack,male,non-org,30-39,right
912,736967318417248256,BabeTruth2,male,non-org,30-39,left
917,365672140,HotTopicDropout,male,non-org,<=18,neutral
924,3595202473,goldenrule47,male,non-org,>=40,left
928,186959884,samehdeeb,male,non-org,30-39,left
931,163993743,mjeltoro,male,non-org,>=40,left
932,50395126,claudiomo,male,non-org,<=18,left
940,756707037078233088,ThomasEBrown3,male,non-org,19-29,neutral
944,124607659,naturopathia,male,non-org,<=18,neutral
946,1014592539444367360,keeptofacts,female,non-org,>=40,left
952,124659093,nkmr_sun,male,non-org,<=18,left
953,22935653,jtuohey21,male,non-org,>=40,left
957,81664859,susansviews,female,non-org,>=40,left
963,64097748,3892yuko,male,non-org,<=18,neutral
966,606138548,sautterlas65,male,non-org,30-39,left
983,15839532,sNerf,male,non-org,<=18,neutral
984,274170164,DavidCBarron,male,non-org,>=40,left
1004,1189912983071313920,MRX41948937,male,non-org,<=18,left
1013,18576176,RobinDallasTX,male,non-org,<=18,right
1025,45061733,Fenbeast,female,non-org,30-39,left
1033,1658479476,Caitlnn,female,non-org,19-29,left
1034,24343578,CitizenJamaican,male,non-org,>=40,left
1036,539595601,fr_hossain,female,non-org,>=40,neutral
1038,81925228,skoochie23,female,non-org,30-39,left
1042,110063170,stejwill,male,non-org,30-39,neutral
1049,13931882,DanielBrockman,male,non-org,>=40,left
1054,578516563,gporter812,male,non-org,30-39,right
1057,2605676312,dannyyy33,male,non-org,19-29,right
1059,26425701,RICHBICH,female,non-org,>=40,right
1067,902875986374660098,DorisConway14,male,non-org,<=18,left
1069,2471219396,nicoleanneliz,female,non-org,19-29,left
1076,78223190,BlueSkyJeffB,male,non-org,<=18,right
1077,191855096,pottikada,male,non-org,<=18,right
1085,165416176,DS20WK,male,non-org,<=18,left
1097,273015689,exploder_1,male,non-org,30-39,neutral
1104,1300000451371372551,WinstonFSmith84,male,non-org,30-39,neutral
1105,3322007426,Coleshsmartinez,male,non-org,>=40,neutral
1111,1174014208624799744,DA_Politics,male,non-org,>=40,left
1113,30327697,asatoran,male,non-org,<=18,left
1116,1148692229688627202,YaBoi37137010,male,non-org,<=18,left
1118,1310603302493540353,sharemantras,male,non-org,>=40,neutral
1119,46059213,modified_hindu,male,non-org,30-39,neutral
1124,1266914528610131974,Arancibia2020,male,non-org,<=18,left
1125,47513933,nannyfat,female,non-org,>=40,left
1126,1293051516790734848,tuffy_sir,male,non-org,<=18,neutral
1128,89126136,BarbaraMK5,female,non-org,<=18,neutral
1129,1273182955,mikejohansenmd,male,non-org,>=40,neutral
1131,1220669885451309056,ThomasP99499502,male,non-org,>=40,left
1139,1108781190910304256,karen_elaine444,female,non-org,19-29,left
1148,755534838334009345,spiceisnice_,male,non-org,<=18,left
1149,22827784,Const_Overhaul,male,non-org,>=40,left
1160,95606572,RichinWriterss,male,non-org,>=40,right
1166,359444357,CreatewithRaine,male,non-org,<=18,left
1168,148276864,clliday,male,non-org,>=40,left
1169,856504475594489856,Knightsatire,male,non-org,19-29,left
1172,15737296,geekgirly,female,non-org,30-39,neutral
1175,1689942739,LindaMedellin3,female,non-org,<=18,left
1183,1270739929086275585,redE4new,male,non-org,19-29,left
1187,832047774111760384,alzaidishoe,male,non-org,<=18,neutral
1192,50388000,SilentPartner1,male,non-org,>=40,left
1195,117845643,McKibbinGroup,male,non-org,>=40,left
1197,79761651,joetke,male,non-org,>=40,right
1199,17163156,sliss33,male,non-org,>=40,left
1202,27782796,CathVoutier,female,non-org,>=40,neutral
1203,1258242273575231489,alokbha59102427,male,non-org,<=18,neutral
1205,1593224094,foggybottomgal,female,non-org,>=40,left
1208,113753689,jazzylou76,female,non-org,<=18,left
1217,20538456,AuntyLush,female,non-org,<=18,left
1221,1301065593378881537,Jayadev61032776,male,non-org,30-39,neutral
1225,2532189691,ShiatsRahul,male,non-org,>=40,neutral
1226,1358361,thiru,male,non-org,>=40,neutral
1229,1432836378,Shillong_,female,non-org,>=40,neutral
1234,233039234,dnyadav,male,non-org,>=40,neutral
1235,1270585318010314752,DrNitinAKapur,male,non-org,>=40,left
1240,1186901425911205888,BiggersChuck,male,non-org,>=40,neutral
1242,50791051,Trazlersgal,female,non-org,<=18,neutral
1248,902502499575259136,__goldfinger,male,non-org,>=40,neutral
1251,1141143759414947840,vonbangpepe,male,non-org,30-39,neutral
1260,328964183,CristinaPopa0,female,non-org,>=40,left
1262,1016158618381574145,RamAhgir2,male,non-org,>=40,neutral
1266,137958927,happyETwmc,male,non-org,30-39,left
1267,145266703,xtemujin,male,non-org,30-39,neutral
1268,850348802,MrDarkWolfe,male,non-org,>=40,left
1271,619393808,LuixSP,male,non-org,<=18,left
1279,459685872,Axelrod_EJ,male,non-org,<=18,neutral
1281,1231118747819069440,FastWorldNews5,male,non-org,<=18,neutral
1287,25025909,gotmee,male,non-org,>=40,left
1288,2493199104,McPhersonHall,male,non-org,<=18,left
1292,17658802,JuneNotJanuary,male,non-org,30-39,neutral
1297,93930925,digitalnuke,male,non-org,30-39,right
1313,2353923236,HarishKumarDaga,male,non-org,19-29,neutral
1316,298269207,neillevine3,male,non-org,30-39,right
1319,391053524,jerrygilmer,male,non-org,>=40,left
1320,1276325680548995072,atypicalblonde1,female,non-org,30-39,left
1323,422648245,GSaravanaa,male,non-org,30-39,neutral
1329,36574486,manateespirit,male,non-org,<=18,right
1350,1254713088,UofLEcon,male,non-org,>=40,left
1353,310138979,yogeshsakh,male,non-org,<=18,neutral
1355,52245541,llomenzo,male,non-org,30-39,left
1366,59214911,dsteketee97,male,non-org,30-39,left
1373,2472523728,kuremijadyc,male,non-org,<=18,neutral
1378,73624511,AdityaRPatro,male,non-org,30-39,neutral
1384,1261756093362995202,EstyHammond,female,non-org,>=40,right
1396,826265462304600064,NamasteCathy,female,non-org,<=18,left
1397,399183533,RTikia,female,non-org,30-39,right
1402,197547267,ProfeJMarie,female,non-org,30-39,left
1408,2965653249,Tunisia_Watch,female,non-org,30-39,neutral
1409,116295335,breButterfly,female,non-org,30-39,left
1414,4856315735,GIN_TROPICAL,female,non-org,<=18,neutral
1418,3294310424,teanobambino,male,non-org,30-39,neutral
1419,18346882,CharliePatrick,male,non-org,<=18,left
1421,954820560806141952,KMPOMGIDK,male,non-org,30-39,left
1427,3130887279,ptcl22,male,non-org,30-39,left
1438,61471496,MAXCHELUR,male,non-org,30-39,neutral
1440,2983037774,BhayankarLog,male,non-org,30-39,left
1443,1213865502855946240,Fahad68791216,male,non-org,>=40,neutral
1444,2490174415,NagdeepN,male,non-org,<=18,neutral
1452,79184392,RobinOpines,male,non-org,>=40,neutral
1457,1080424955957850117,ruchikapatil14,female,non-org,<=18,neutral
1460,1330811974259679234,Cosmo7X,male,non-org,>=40,neutral
1464,180874151,manishahire,male,non-org,30-39,neutral
1466,619754744,laidback1954,male,non-org,>=40,neutral
1468,1055497763406921729,Pari_infinity,female,non-org,<=18,neutral
1471,95906681,rajeshnischal,male,non-org,>=40,left
1473,141181083,Jeetuism,male,non-org,>=40,neutral
1474,1271058879074275334,SumedhianNandu_,male,non-org,<=18,neutral
1485,740195169828536320,rupinder3007,male,non-org,>=40,neutral
1486,1330907784880168977,gariana_arande,female,non-org,<=18,neutral
1487,17791062,SantScb,male,non-org,>=40,neutral
