Unnamed: 0,id,full_text,screen_name,state,stance,med,date,week,wave,desensitized_text,masked_prediction,prediction
27443,1247142688668946436,Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial ,ckesserwan,Maryland,2,False,2020-04-06,11,1,Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial,2,2
47787,1288193246632513539,"""WE NEED YOUR HELP"" - Brave Frontline COVID Doc Stella Immanuel Asks Patients Who Have Been Cured by HCQ to Speak Up (VIDEO) ",ASimplePatriot,Texas,2,False,2020-07-28,27,1,"""WE NEED YOUR HELP"" - Brave Frontline COVID Doc Stella Immanuel Asks Patients Who Have Been Cured by HCQ to Speak Up (VIDEO)",2,2
91685,1262791050965454848,"For the record, I'm ingesting large amounts of an antiseptic - brand name ""Glenfiddich"" - to battle #COVID19 
So far, I've not gotten the virus, so proof it works!

It is just as, if not more effective, than #hydroxychloriquine, and tastes much better!

What have you got to lose?",ThoughtSceptic,New York,1,False,2020-05-19,17,1,"For the record, I'm ingesting large amounts of an antiseptic - brand name ""Glenfiddich"" - to battle @USER So far, I've not gotten the virus, so proof it works! It is just as, if not more effective, than @USER, and tastes much better! What have you got to lose?",2,1
107812,1279451767869181952,.@RealDonaldTrump hatred by media and politicized medical establishment led to needless deaths and misery from #coronavirus. #Hydroxychloroquine ,TomFitton,District of Columbia,2,False,2020-07-04,24,1,.@USER hatred by media and politicized medical establishment led to needless deaths and misery from @USER. @USER,2,2
202814,1291137921093734401,"Hydroxychloroquine can’t stop COVID-19. It's time to move on, scientists say ",ImpeachTrump012,Washington,1,False,2020-08-05,29,1,"Hydroxychloroquine can’t stop COVID-19. It's time to move on, scientists say",1,1
45169,1352443676799197185,"Out from the paywall now/free ...

Fauci: 'Liberating feeling' to talk science, evidence with Biden versus Trump  #Fauci #NIH #COVID19 #hydroxychloroquine",DonnaYoungDC,District of Columbia,2,False,2021-01-22,53,2,"Out from the paywall now/free ... Fauci: 'Liberating feeling' to talk science, evidence with Biden versus Trump @USER @USER @USER @USER",2,2
180954,1406348058967826434,"@ASlavitt ""Covid-19: Hydroxychloroquine will knock this right out""

(They're still trying to prove that one, btw)",OswaldPHaygood,Alabama,2,False,2021-06-19,74,2,"@USER ""Covid-19: Hydroxychloroquine will knock this right out"" (They're still trying to prove that one, btw)",2,2
114153,1275073881968001024,Launched in April????? Height of #Plandemic #coronavirus BIT ENOUGH PARTICIPANTS?⁦@POTUSPress⁩ ⁦@FDA_Drug_Info⁩ #hydroxychloroquine taken with #zinc has been proven to help by many doctors worldwide. Are you calling them liars?? ,JeannineRiviere,Florida,2,False,2020-06-22,22,1,Launched in April????? Height of @USER @USER BIT ENOUGH PARTICIPANTS?⁦@USER⁩ ⁦@USER⁩ @USER taken with @USER has been proven to help by many doctors worldwide. Are you calling them liars??,2,2
51843,1288175444454449153,"Why are they censoring Physicians from speaking about COVID-19 and Hydroxychloroquine?
 ",DiscoverBlogNY,New York,2,False,2020-07-28,27,1,Why are they censoring Physicians from speaking about COVID-19 and Hydroxychloroquine?,2,2
94806,1297854301742628864,"Renowned epidemiologist Risch explains 'massive disinformation campaign' against HCQ by FAUCI.  Interview is STUNNING.  Explains exactly how FAUCI's actions have taken thousands of lives with AIDS and now with COVID.
",FreedomPossee,Arizona,2,False,2020-08-24,31,1,Renowned epidemiologist Risch explains 'massive disinformation campaign' against HCQ by FAUCI. Interview is STUNNING. Explains exactly how FAUCI's actions have taken thousands of lives with AIDS and now with COVID.,2,2
126415,1254104119243046914,"article includes photo of prescription #hydroxychloroquineandazithromycin and NOT the liquid aquarium cleaner the wife used to actually poison her husband

👇👇👇👇 ",foolish123,Michigan,2,False,2020-04-25,14,1,article includes photo of prescription @USER and NOT the liquid aquarium cleaner the wife used to actually poison her husband 👇👇👇👇,2,2
15815,1435372304234545152,"@politico To vote for the #FormerGuy you have to believe: 
His #BigLie, 
Voter Fraud,
Voter Suppression is OK 
QAnon Conspiracies are fact,
Hydroxychloraquine Cures COVID,
 Insurrection is OK if you can't win,
@RepMTG is sane, 
@mattgaetz is sane, 
White Nationalism is good!",tonyedl,Florida,2,False,2021-09-07,85,3,"@USER To vote for the @USER you have to believe: His @USER, Voter Fraud, Voter Suppression is OK QAnon Conspiracies are fact, Hydroxychloraquine Cures COVID, Insurrection is OK if you can't win, @USER is sane, @USER is sane, White Nationalism is good!",2,2
6390,1440842724467351553,"Florida's new Surgeon General Dr. Joseph Ladapo (a strong proponent of hydroxychloroquine despite contrary evidence) issues the directive.

""We want to make sure we're following that data. We're following science,"" DeSantis said. 

Awful, just awful...
",blacksciblog,Arizona,1,False,2021-09-23,88,3,"Florida's new Surgeon General Dr. Joseph Ladapo (a strong proponent of hydroxychloroquine despite contrary evidence) issues the directive. ""We want to make sure we're following that data. We're following science,"" DeSantis said. Awful, just awful...",0,1
101264,1286630948247941127,New study: Hydroxychloroquine doesn’t help COVID patients - ,FOX19,Ohio,1,False,2020-07-24,27,1,New study: Hydroxychloroquine doesn’t help COVID patients -,1,1
187804,1288703676136271874,"@drpammys @Spankalicious69 @DevlinRiptide @suzydymna @realDonaldTrump You're probably talking about the epidemiologist that appeared on Ingraham. HCQ has been studied more than any drug and as of now the FDA, CDC and other health organizations have said it doesn't cure' Coronavirus. If it works why hasn't Trump told them to...",Mogajimohammed1,Nevada,1,False,2020-07-30,28,1,"@USER @USER @USER @USER @USER You're probably talking about the epidemiologist that appeared on Ingraham. HCQ has been studied more than any drug and as of now the FDA, CDC and other health organizations have said it doesn't cure' Coronavirus. If it works why hasn't Trump told them to...",1,1
71350,1461725267630645252,"@JohnEDowney1 Excellent!  But, what do you use to enable the Zinc to enter the cell? 
That was the value of HCQ - it enabled Zinc to enter the cell.  Zinc prevents the virus from replicating.
Sans HCQ, Quercetin seems to be the best alternative.",JDDII8,Texas,2,False,2021-11-19,96,3,"@USER Excellent! But, what do you use to enable the Zinc to enter the cell? That was the value of HCQ - it enabled Zinc to enter the cell. Zinc prevents the virus from replicating. Sans HCQ, Quercetin seems to be the best alternative.",2,2
19695,1261764650728919041,"@Shem_Infinite @jaketapper Except Cuomo wrote an EO banning pharmacies from prescribing HCQ for Covid.  You can only get it, if you are hospitalized &amp; on your deathbed.  Sometimes it’s too late.",slcalabria,Florida,2,False,2020-05-16,17,1,"@USER @USER Except Cuomo wrote an EO banning pharmacies from prescribing HCQ for Covid. You can only get it, if you are hospitalized &amp; on your deathbed. Sometimes it’s too late.",2,2
185568,1288935011350192129,"I think it’s imperative that they declare whether or not Cain was taking #Hydroxychloroquine.

We need to know exactly how much to give Gohmert... ",BluesHand,Florida,0,False,2020-07-30,28,1,I think it’s imperative that they declare whether or not Cain was taking @USER. We need to know exactly how much to give Gohmert...,0,0
173725,1295034557314539520,Doctors Pen Open Letter To Fauci Regarding The Use Of Hydroxychloroquine for Treating COVID-19 | Zero Hedge ,QueensMaryMac,North Carolina,0,False,2020-08-16,30,1,Doctors Pen Open Letter To Fauci Regarding The Use Of Hydroxychloroquine for Treating COVID-19 | Zero Hedge,0,0
42787,1272585876250537985,"CORONAVIRUS

FDA pulls emergency use authorization of hydroxychloroquine for COVID-19

The regulatory agency said the drug is ""unlikely to be effective"" in treating the coronavirus.

",LovingKels,District of Columbia,1,False,2020-06-15,21,1,"CORONAVIRUS FDA pulls emergency use authorization of hydroxychloroquine for COVID-19 The regulatory agency said the drug is ""unlikely to be effective"" in treating the coronavirus.",1,1
113976,1275430042902753281,"@JudicialWatch Death Masks do not work; increased testing stations make higher fake increases. Every time more testing stations add, the virus numbers will get up. The data means that most people have a virus with antibodies &amp; Sick only needs Hydroxychloroquine with Zinc Cold medicine.",T35cd,Texas,2,False,2020-06-23,22,1,"@USER Death Masks do not work; increased testing stations make higher fake increases. Every time more testing stations add, the virus numbers will get up. The data means that most people have a virus with antibodies &amp; Sick only needs Hydroxychloroquine with Zinc Cold medicine.",0,2
118873,1292184052196429831,Democratic NYC Councilman Paul Vallone credits Hydroxychloroquine for COVID-19 recovery  via @nypost,TonyPhyrillas,Pennsylvania,2,False,2020-08-08,29,1,Democratic NYC Councilman Paul Vallone credits Hydroxychloroquine for COVID-19 recovery via @USER,2,2
53092,1350038801393938436,"The left's darling, #DrFauci on the miracle drug #HydroxyChloroquine  ",Roseck20,California,2,False,2021-01-15,52,2,"The left's darling, @USER on the miracle drug @USER",2,2
92091,1262584431384031232,"Thats good, it will kill you and do the world a huge solid in tossing ur disgusting a** into hell with ur pal Hitler.
Let's cross our fingers and pray the trump drug proves fatal

President Trump Says He's Taking Hydroxychloroquine to Prevent COVID-19 ",Sarahdehart1984,Arizona,1,False,2020-05-19,17,1,"Thats good, it will kill you and do the world a huge solid in tossing ur disgusting a** into hell with ur pal Hitler. Let's cross our fingers and pray the trump drug proves fatal President Trump Says He's Taking Hydroxychloroquine to Prevent COVID-19",1,1
119322,1297981825759969280,Michigan hospital study says Hydroxychloroquine COVID-19 treatment ‘cut death rate significantly’ ,angelacortner,Florida,1,False,2020-08-24,31,1,Michigan hospital study says Hydroxychloroquine COVID-19 treatment ‘cut death rate significantly’,2,1
159953,1430738652737548291,So we go from denial of this virus by thinking it's just a cold to hydroxychloroquine and shining lights inside the body to refusing to wear masks or receiving the vaccine to taking sheep dewormer to eating a llama for the antibodies? Don't give these skeptics any new ideas! ,therealkenecik,Maryland,2,False,2021-08-26,84,3,So we go from denial of this virus by thinking it's just a cold to hydroxychloroquine and shining lights inside the body to refusing to wear masks or receiving the vaccine to taking sheep dewormer to eating a llama for the antibodies? Don't give these skeptics any new ideas!,2,2
33972,1296640469930258433,Why Is The Media Suppressing Information About Hydroxychloroquine’s Effectiveness Against COVID? ,TeshuvahRoad,Montana,2,False,2020-08-21,31,1,Why Is The Media Suppressing Information About Hydroxychloroquine’s Effectiveness Against COVID?,2,2
117665,1293667982359572484,"@IngrahamAngle This is fake news! Just heard from my doctor, a professor in his medical school. He said no doctor is using Hydroxychloroquine to treat Covid 19 in hospital and it is considered dangerous! He is not paid by Big Pharma! These people are a danger to themselves and others !",noptyfit,Virginia,1,False,2020-08-12,30,1,"@USER This is fake news! Just heard from my doctor, a professor in his medical school. He said no doctor is using Hydroxychloroquine to treat Covid 19 in hospital and it is considered dangerous! He is not paid by Big Pharma! These people are a danger to themselves and others !",1,1
109798,1288351772096860160,@willchamberlain And a bunch of physicians that treat covid patients on the front lines say hydroxychloroquine therapy works and masks are not necessary.  So which is it? Inquiring minds want to know the truth.,kriptojunkie,Wyoming,2,False,2020-07-29,28,1,@USER And a bunch of physicians that treat covid patients on the front lines say hydroxychloroquine therapy works and masks are not necessary. So which is it? Inquiring minds want to know the truth.,1,2
37122,1292450829983776768,"@trixiebelle47 @SteveMcTowlie @samanth89482023 @SethAbramson Trump gave the cure in March. Hydroxychloroquine + zinc + azithromycin. Even Fauci said back in 2008 that chloroquine was effective against coronavirus, but seemed to forget this in 2020, as people tried to discount this remedy. Now, all of the studies are proving Trump right.",jhoepfl1,Texas,2,False,2020-08-09,29,1,"@USER @USER @USER @USER Trump gave the cure in March. Hydroxychloroquine + zinc + azithromycin. Even Fauci said back in 2008 that chloroquine was effective against coronavirus, but seemed to forget this in 2020, as people tried to discount this remedy. Now, all of the studies are proving Trump right.",2,2
78182,1359884068612055040,"@_emsalali No I that was hydroxychloroquine, dex was used when he got Covid though",Ips_cali,California,0,False,2021-02-11,56,2,"@USER No I that was hydroxychloroquine, dex was used when he got Covid though",0,0
118728,1295030646025461771,Doctors Pen Open Letter To Fauci Regarding The Use Of Hydroxychloroquine for Treating COVID-19 | Zero Hedge ,Raul_Rivero1,Florida,0,False,2020-08-16,30,1,Doctors Pen Open Letter To Fauci Regarding The Use Of Hydroxychloroquine for Treating COVID-19 | Zero Hedge,0,0
112847,1330700709675888640,"Covid stat     Florida open state open good economy recovering republican  Governor .NYS 
Cuomo  lockdowns no holidays terrible economy schools in lockdown not recovering,no HCQ business in failure ,property values  50%in NYC deaths 41same as Florida .",DrMLernerMDPhD,New York,2,False,2020-11-23,44,2,"Covid stat Florida open state open good economy recovering republican Governor .NYS Cuomo lockdowns no holidays terrible economy schools in lockdown not recovering,no HCQ business in failure ,property values 50%in NYC deaths 41same as Florida .",2,2
204009,1263106762682568704,"Add to that big pharma. Which regu boards have members who R also paid by big pharma? Entire countries w/ low COVID rates give HCQ +zinc prophylactically for front line workers, the vulnerable, the exposed, &amp; early interv for + testers. We look like morons w/ our screaming media ",nuency25,New Jersey,2,False,2020-05-20,18,1,"Add to that big pharma. Which regu boards have members who R also paid by big pharma? Entire countries w/ low COVID rates give HCQ +zinc prophylactically for front line workers, the vulnerable, the exposed, &amp; early interv for + testers. We look like morons w/ our screaming media",2,2
156288,1247517429913104384,Inside the epic White House blowup over hydroxychloroquine - Axios ,drekaplan,Florida,0,False,2020-04-07,11,1,Inside the epic White House blowup over hydroxychloroquine - Axios,0,0
181012,1402132192197857282,"IT’S WORSE THAN WE THOUGHT! Fauci and Top US Doctors Caught! They CONSPIRED to Disqualify Hydroxychloroquine as COVID Treatment — MILLIONS DEAD AS A RESULT

",jmav88836,Texas,2,False,2021-06-08,72,2,IT’S WORSE THAN WE THOUGHT! Fauci and Top US Doctors Caught! They CONSPIRED to Disqualify Hydroxychloroquine as COVID Treatment — MILLIONS DEAD AS A RESULT,2,2
61294,1295342788956094466,STUNNING PROOF That HCQ Could Have Saved Tens of Thousands of Lives in the US from Coronavirus -- Jail Fauci. Jail all ⁦@TheDemocrats⁩ for banning it.  ,Lisa488560421,Rhode Island,2,False,2020-08-17,30,1,STUNNING PROOF That HCQ Could Have Saved Tens of Thousands of Lives in the US from Coronavirus -- Jail Fauci. Jail all ⁦@USER⁩ for banning it.,2,2
109631,1288574730010791936,"Figures.

The last POTUS is gone, finis.  He loves and pandered to Iranians.

Our current POTUS loves Americans so I listen to what he has to say.

So if I contract COVID-19, I’ll be taking hydroxychloroquine plus zinc and Azithromycin because it works. ",bonita676,Florida,2,False,2020-07-29,28,1,"Figures. The last POTUS is gone, finis. He loves and pandered to Iranians. Our current POTUS loves Americans so I listen to what he has to say. So if I contract COVID-19, I’ll be taking hydroxychloroquine plus zinc and Azithromycin because it works.",2,2
93700,1418280119102283785,"@NebLander @rebeccafe14 @TomPelissero Experimental would be taking hydroxychloroquine or injecting bleach to treat Covid, which can cause serious prolonged health issues, and, you know, death. The vaccines had trials and received emergency authorization, so not experimental.",RealACGonzales7,West Virginia,1,False,2021-07-22,79,3,"@USER @USER @USER Experimental would be taking hydroxychloroquine or injecting bleach to treat Covid, which can cause serious prolonged health issues, and, you know, death. The vaccines had trials and received emergency authorization, so not experimental.",1,1
148046,1263449644576759808,‘How Can I Be Sick?’ Woman Who Took Hydroxychloroquine For 19 Years To Treat Lupus Still Got COVID-19 #SmartNews  ,FinSpk,Wisconsin,2,False,2020-05-21,18,1,‘How Can I Be Sick?’ Woman Who Took Hydroxychloroquine For 19 Years To Treat Lupus Still Got COVID-19 @USER,2,2
30287,1353708426250039299,"@sglockenspeil @TrainwRodrigo @thehill Jared wasn't involved in covid. He was bringing peace to the Middle East. Ending centuries of hate.

Isn't  Dr. Waffle still in charge. Masks work, masks don't work. HCQ works, HCQ doesn't work. You wear a mask but not me. 
Joe said there's nothing we can do.",Jafo148,Pennsylvania,2,False,2021-01-25,53,2,"@USER @USER @USER Jared wasn't involved in covid. He was bringing peace to the Middle East. Ending centuries of hate. Isn't Dr. Waffle still in charge. Masks work, masks don't work. HCQ works, HCQ doesn't work. You wear a mask but not me. Joe said there's nothing we can do.",2,2
206987,1257968541002797058,#FauciLiedPeopleDied knew about HCQ in 2005 -- nobody needed to die #COVID19  ,catpiasente,Pennsylvania,2,False,2020-05-06,16,1,@USER knew about HCQ in 2005 -- nobody needed to die @USER,2,2
188559,1287974928088735749,"But Trump has cited a study by the Henry Ford Health System that shows HCQ has cut the death rate of COVID patients. 

Why is this one showing something different? And how much weight should one give to it, when others are saying the opposite?

",KevinTDugan,New York,1,False,2020-07-28,27,1,"But Trump has cited a study by the Henry Ford Health System that shows HCQ has cut the death rate of COVID patients. Why is this one showing something different? And how much weight should one give to it, when others are saying the opposite?",2,1
15880,1443650755198521347,1 of 2 @POTUS I’ll be FIRED if I don’t agree to be an UNWILLING #VaccineResearch participant &amp; take the fastest created/@US_FDA approved drug for a virus with a 99.997% survivability rate that I already recovered from after receiving #MonoclonalAntibodies &amp; #HydroxyChloroquine,mtax4k8,Nevada,2,False,2021-09-30,89,3,1 of 2 @USER I’ll be FIRED if I don’t agree to be an UNWILLING @USER participant &amp; take the fastest created/@USER approved drug for a virus with a 99.997% survivability rate that I already recovered from after receiving @USER &amp; @USER,2,2
89977,1262843161824591872,"@TeamCavuto    Shame on you!  You are wrong about taking hydroxychlorquine for covid-19
If it works when nothing else does people should have the right to take it without your recriminations.  I hope you don’t need it one day! Do your job and report the real news you aren’t a MD",DeplorableTam,South Carolina,2,True,2020-05-19,17,1,@USER Shame on you! You are wrong about taking hydroxychlorquine for covid-19 If it works when nothing else does people should have the right to take it without your recriminations. I hope you don’t need it one day! Do your job and report the real news you aren’t a MD,2,2
198295,1295180584705114112,@dennisdoddcbs Vs Science?? What about the science that shows HCQ helps fight Covid?,JT4America,Utah,0,False,2020-08-17,30,1,@USER Vs Science?? What about the science that shows HCQ helps fight Covid?,1,0
167480,1259710338360061957,I would like to start #trumpgate and begin with the company #novartis which paid $1.2m to Michael Cohen for access to Donald Trump to push hydroxychloroquine as a cure to the coronavirus,jasper00711,New York,1,False,2020-05-11,16,1,I would like to start @USER and begin with the company @USER which paid $1.2m to Michael Cohen for access to Donald Trump to push hydroxychloroquine as a cure to the coronavirus,1,1
109233,1288351122906849280,"... not Covid-19. 2) FDA cautions against use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to risk of heart rhythm problems. According to the New England Journal of Medicine,...",_averageaustin_,Alabama,1,False,2020-07-29,28,1,"... not Covid-19. 2) FDA cautions against use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to risk of heart rhythm problems. According to the New England Journal of Medicine,...",1,1
151232,1400865147606900739,"@photobyluke @Matters2Freedom @RudyGiuliani A reminder: hydroxychloroquine still doesn't work against Covid, and never did. Follow the science, not politics. 


",Thomas_Hager,Oregon,1,False,2021-06-04,72,2,"@USER @USER @USER A reminder: hydroxychloroquine still doesn't work against Covid, and never did. Follow the science, not politics.",1,1
67853,1421689579514511363,"@LindsayLouWho15 @TrumpFallacy @MAngehr @NEWS_MAKER 

I've never taken hydroxychloroquine and 33.5 billion is a whole lotta gravy.

I wonder if they'd be willing to throw the brakes on this gravy train if doing so was in the public interest...",GaladrielReyno1,New Jersey,1,False,2021-08-01,80,3,@USER @USER @USER @USER I've never taken hydroxychloroquine and 33.5 billion is a whole lotta gravy. I wonder if they'd be willing to throw the brakes on this gravy train if doing so was in the public interest...,1,1
82313,1263003316004556800,President Trump Admits He Is Taking Life-Saving Drug Hydroxychloroquine as Prophylaxis Against the Coronavirus: ,PatriotMomNDJ,Nebraska,2,False,2020-05-20,18,1,President Trump Admits He Is Taking Life-Saving Drug Hydroxychloroquine as Prophylaxis Against the Coronavirus:,2,2
80137,1262724054773125126,"You can see @TeamCavuto fume that a NYC female physician agrees w. Trump using #Hydroxychloroquine as a preventative drug for #COVID.

Neil Cavuto is incapable of being fair or objective to our @POTUS because of his Trump DEMentia. ",SmallBiz4Trump,District of Columbia,2,False,2020-05-19,17,1,You can see @USER fume that a NYC female physician agrees w. Trump using @USER as a preventative drug for @USER. Neil Cavuto is incapable of being fair or objective to our @USER because of his Trump DEMentia.,1,2
207994,1402679108614639617,"Actually you haven't proven anything or hydroxychloroquine would be used in all the countries with the virus.
Just look at the results of hydroxychloroquine in India. It doesn't work. Isn't that proof enough? It's not a matter of pride, Sheri, it's a matter of scientific proof. ",WalterKlingler,Virginia,1,False,2021-06-09,73,2,"Actually you haven't proven anything or hydroxychloroquine would be used in all the countries with the virus. Just look at the results of hydroxychloroquine in India. It doesn't work. Isn't that proof enough? It's not a matter of pride, Sheri, it's a matter of scientific proof.",1,1
195670,1263576213848829959,Everyone remember to get your absentee ballot for both the general and Primaries. In NYS concern over the coronavirus falls under the disability reasoning for request. Everybody has to vote if we hope to remove the moron filled with hydroxychloriquine as president.,patcorr317,New York,0,True,2020-05-21,18,1,Everyone remember to get your absentee ballot for both the general and Primaries. In NYS concern over the coronavirus falls under the disability reasoning for request. Everybody has to vote if we hope to remove the moron filled with hydroxychloriquine as president.,0,0
29448,1273313294439178242,WHO drops hydroxychloroquine from Covid-19 clinical trial  via @statnews,StanfordHP,California,1,False,2020-06-17,22,1,WHO drops hydroxychloroquine from Covid-19 clinical trial via @USER,1,1
204496,1265364994520162305,Klobuchar Bashes Trump over His Use of Hydroxychloroquine After Same Drug Saved Her Husband's Life  via @gatewaypundit,123RHGreen,North Carolina,2,False,2020-05-26,18,1,Klobuchar Bashes Trump over His Use of Hydroxychloroquine After Same Drug Saved Her Husband's Life via @USER,2,2
143132,1293900300399468544,"@eqmaverickpoet @provaxtexan @Charitable_Fury @AgileConcept @seraphina416 @GeoffSchuler @emartinez78987 @ale_battini @mcfunny @KStateTurk @a8drag @TinFoilAwards @StahpL @handmadekathy @lysandergrant @jkellyca @truthhealeruk @md444444444 @KSbyAuntieNic @ascendingdove11 @paulmuaddib611 @margie_moo @AndrewLazarus4 @sQuishChick_Oz @doritmi @thefoxygoddess @Bloom13132 @DreadPirRob42 @paulmuaddib61 @RCPrentice @Slickfoot2 @crabb_vicki @FrankDElia7 @Mcquademc7 @imellygurl @flitesurgn @jptlowy @advokerry @JestrBob @MsTrixter @tarrimarkel @KatLaRue7 @fiski70 @shitwinds_winds @sardines777 @SmokeyMtnStrong @RobertANugent1 @alexbellesme @krebiozen @cuspenamente Hard to imagine that’s true, since HCQ doesn’t work, let alone cure, COVID-19.",swedishchf,California,1,False,2020-08-13,30,1,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Hard to imagine that’s true, since HCQ doesn’t work, let alone cure, COVID-19.",1,1
189768,1289339554487402496,"@KeithAl56106533 @MissMeganDawn @Cernovich @TuckerCarlson It didn't exist when Washington was a General or a President! She's full of shit all around. She WAS an ER physician years before COVID-19 existed so all her info is totally irrelevant to the discussion! Also, there are a lot of side effects to HCQ which can cause heart attacks!",DrDavid911,Kansas,1,True,2020-07-31,28,1,"@USER @USER @USER @USER It didn't exist when Washington was a General or a President! She's full of shit all around. She WAS an ER physician years before COVID-19 existed so all her info is totally irrelevant to the discussion! Also, there are a lot of side effects to HCQ which can cause heart attacks!",1,1
137141,1263698529643491334,#CNN’s Cuomo Took “Less Safe” Version of Hydroxychloroquine to Treat Coronavirus ,mlw975,Texas,2,False,2020-05-22,18,1,@USER’s Cuomo Took “Less Safe” Version of Hydroxychloroquine to Treat Coronavirus,1,2
77425,1288062748316794880,@KellzBellzzah I believe Hydroxychloroquine to be the cure when administered with Azithromycin and Zinc. If I contract covid19 it's what I will demand as medication.,Vento921,Pennsylvania,2,False,2020-07-28,27,1,@USER I believe Hydroxychloroquine to be the cure when administered with Azithromycin and Zinc. If I contract covid19 it's what I will demand as medication.,2,2
47097,1280943911150563329,"""Chester County Coroner Christina VandePol tells the Post that many people at the center who died earlier this year were given hydroxychloroquine without even having been tested for the novel coronavirus.""

  #SmartNews",PatriciaThom10,Michigan,0,False,2020-07-08,25,1,"""Chester County Coroner Christina VandePol tells the Post that many people at the center who died earlier this year were given hydroxychloroquine without even having been tested for the novel coronavirus."" @USER",2,0
175469,1312026383758110721,"The Flu is with us EVERY YEAR.
COVID-19 will be with us as well. EVERY YEAR.
Our ability to fight &amp; defeat it is growing, Hydroxychloroquine is looking more &amp; more like an effective preventative &amp; treatment for it.
DESPITE the Left's determination to censor all talk of it. ",CatesDuane,Colorado,2,False,2020-10-02,37,2,"The Flu is with us EVERY YEAR. COVID-19 will be with us as well. EVERY YEAR. Our ability to fight &amp; defeat it is growing, Hydroxychloroquine is looking more &amp; more like an effective preventative &amp; treatment for it. DESPITE the Left's determination to censor all talk of it.",2,2
20719,1266118659409395713,"Questions raised over hydroxychloroquine study which caused WHO to halt trials for Covid-19  

Avec le COVID-19, la science n'en ressort malheureusement pas grandi",MatthiasLambert,Massachusetts,1,False,2020-05-28,19,1,"Questions raised over hydroxychloroquine study which caused WHO to halt trials for Covid-19 Avec le COVID-19, la science n'en ressort malheureusement pas grandi",1,1
