Unnamed: 0,id,full_text,screen_name,state,stance,med,date,week,wave,desensitized_text,masked_prediction,prediction
25508,1438535241358983171,"@tweettruth2me If a harmless drug does no good, why do these people care?  If someone was using spaghetti to fight Covid, people would just shake their heads.  Ivermectin is as harmful as spaghetti, so why make a fuss?  Something evil is afoot.",Patrickkerby58,Nevada,2,False,2021-09-16,87,3,"@USER If a harmless drug does no good, why do these people care? If someone was using spaghetti to fight Covid, people would just shake their heads. Ivermectin is as harmful as spaghetti, so why make a fuss? Something evil is afoot.",2,2
160031,1437848068221804547,"Honestly to the point where if I were in charge of medical care I'd respond to ""Covid is fake, I want Ivermectin"" with ""OK. Here's your prescription. Go home. Don't come back. I'll call in all the refills you want. Have fun maybe dying.""",Hefficide,GA,2,False,2021-09-14,86,3,"Honestly to the point where if I were in charge of medical care I'd respond to ""Covid is fake, I want Ivermectin"" with ""OK. Here's your prescription. Go home. Don't come back. I'll call in all the refills you want. Have fun maybe dying.""",2,2
65531,1417643284181094401,@friedberg is Ivermectin a viable drug for coronavirus treatment?,mike_is_typing,Arizona,0,False,2021-07-21,79,3,@USER is Ivermectin a viable drug for coronavirus treatment?,0,0
71473,1456746549946421251,I can now brag. I said on Twitter that he was taking ivermectin. Hope Covid doesn’t affect his “fertility.” ,ykilew,California,1,False,2021-11-05,94,3,I can now brag. I said on Twitter that he was taking ivermectin. Hope Covid doesn’t affect his “fertility.”,0,1
242865,1437267862859567120,"@KellieG59472180 @rubyslippahs @funder And one more thing, you really need to question the information you're listening to if you think using ivermectin as a safety net for the vaccines is ""dangerous &amp; incorrect"". It's 100% correct, and it definitely isn't f@#$ing dangerous. It's dangerous to NOT give it for COVID-19!",BabyTreasures,WA,2,False,2021-09-13,86,3,"@USER @USER @USER And one more thing, you really need to question the information you're listening to if you think using ivermectin as a safety net for the vaccines is ""dangerous &amp; incorrect"". It's 100% correct, and it definitely isn't f@#$ing dangerous. It's dangerous to NOT give it for COVID-19!",2,2
36341,1437576281118416896,"@Hamish_Hoosen @aletlambert All you fucks being willfully ignorant should know full well that there’s a version of Ivermectin for people that is a proven successful early treatment for Covid.  Nearly 100%!!Stop with the horse jokes, you dicks.  Look it up.",TerminalMan2,North Carolina,2,False,2021-09-14,86,3,"@USER @USER All you fucks being willfully ignorant should know full well that there’s a version of Ivermectin for people that is a proven successful early treatment for Covid. Nearly 100%!!Stop with the horse jokes, you dicks. Look it up.",2,2
96763,1435067931423952896,"An Ohio judge has reversed an order requiring a hospital to give ivermectin, the horse deworming drug propped up as a COVID-19 treatment, to an ICU patient breathing via a ventilator. ",thedailybeast,New York,0,False,2021-09-07,85,3,"An Ohio judge has reversed an order requiring a hospital to give ivermectin, the horse deworming drug propped up as a COVID-19 treatment, to an ICU patient breathing via a ventilator.",0,0
135833,1415849893055315971,"@MdTeryn Bwaahhahahahh!
[[[[IVM is a total BUST!! IVERMECTIN STUDY FAILURE Read this thread! It’s a total FRAUD…just like QUACKEY CLARKEY!! ]]]]  ",JBagadonuts3,IL,1,True,2021-07-16,78,3,@USER Bwaahhahahahh! [[[[IVM is a total BUST!! IVERMECTIN STUDY FAILURE Read this thread! It’s a total FRAUD…just like QUACKEY CLARKEY!! ]]]],1,1
270249,1430416669453651971,"@ProfPCDoherty What planet are you on? Look at Israel, UK, Sweden, Slovakia &amp; Uttar Pradesh, Delhi, Goa vs Tamil Nadu, Kerala.
Why do you pretend only vaxes help when 1) leaky-vaxing into a pandemic is insane &amp; it's proven Ivermectin protocols beat vaxes hands down?
",FuruKyouka,FL,2,False,2021-08-25,84,3,"@USER What planet are you on? Look at Israel, UK, Sweden, Slovakia &amp; Uttar Pradesh, Delhi, Goa vs Tamil Nadu, Kerala. Why do you pretend only vaxes help when 1) leaky-vaxing into a pandemic is insane &amp; it's proven Ivermectin protocols beat vaxes hands down?",2,2
9059,1440893312647499776,"@neodotcity Cologne, perfume, makeup, moisturizers, shampoos, hair dyes, shaving cream, and face and body wash are not FDA approved.

The vaccine is.
Ivermectin is, for animals. In fact the FDA advised humans against it. Why do you do this to yourselves",BaelaLayla,New York,1,False,2021-09-23,88,3,"@USER Cologne, perfume, makeup, moisturizers, shampoos, hair dyes, shaving cream, and face and body wash are not FDA approved. The vaccine is. Ivermectin is, for animals. In fact the FDA advised humans against it. Why do you do this to yourselves",1,1
