Unnamed: 0,id,full_text,screen_name,state,stance,med,date,week,wave,desensitized_text,masked_prediction,prediction
1034,1440797809133834241,"@Hellcat707S It would be a strange coincidence if the owner of the largest manufacturer of Remdesivir in China was a relative of the former administrator of the Wuhan Virology Lab that the virus originated from, hypothetically speaking.",JThe0philus,Maryland,0,True,2021-09-22,88,3,"@USER It would be a strange coincidence if the owner of the largest manufacturer of Remdesivir in China was a relative of the former administrator of the Wuhan Virology Lab that the virus originated from, hypothetically speaking.",0,0
30648,1312661424619966465,"Trump COVID-19 treatment: President had stakes in Regeneron and Gilead, makers of antibody cocktail, Remdesivir  #SmartNews",PinkeyLu1,Missouri,1,False,2020-10-04,37,2,"Trump COVID-19 treatment: President had stakes in Regeneron and Gilead, makers of antibody cocktail, Remdesivir @USER",1,1
24618,1259161111322124288,"After backlash over its chaotic initial rollout, Trump administration announces plan for distributing remdesivir  @rachel_roubein @ZacharyBrennan",abettel,District of Columbia,0,False,2020-05-09,16,1,"After backlash over its chaotic initial rollout, Trump administration announces plan for distributing remdesivir @USER @USER",0,0
44110,1317269971274268672,Remdesivir (and Fauci) for the Loss!😡 ,jenny_texas_70,Texas,2,False,2020-10-17,39,2,Remdesivir (and Fauci) for the Loss!😡,2,2
38553,1329921730052194305,Don’t use Gilead’s Remdesivir in hospitalised COVID-19 patients: WHO ,AdamSmith30303,Illinois,1,False,2020-11-20,44,2,Don’t use Gilead’s Remdesivir in hospitalised COVID-19 patients: WHO,1,1
44329,1255685414507155458,"GOOD NEWS
A drug proves effective against #Coronavirus!
“What it has proven is that a drug can block this virus,” said Dr. Anthony Fauci: “This will be the standard of care.”
#remdesivir #USA 
",PietroRossini,Massachusetts,2,False,2020-04-30,15,1,"GOOD NEWS A drug proves effective against @USER! “What it has proven is that a drug can block this virus,” said Dr. Anthony Fauci: “This will be the standard of care.” @USER @USER",2,2
26476,1280456630811975680,Gilead announces long-awaited price for Covid-19 drug remdesivir ,InstitutionalZC,Illinois,0,False,2020-07-07,24,1,Gilead announces long-awaited price for Covid-19 drug remdesivir,0,0
35621,1425607829902307340,"Fauci's drug.. In this cohort study of US veterans hospitalized with COVID-19, remdesivir treatment was not associated with improved survival but was associated with longer hospital stays.

",JackHob73079501,California,1,False,2021-08-11,82,3,"Fauci's drug.. In this cohort study of US veterans hospitalized with COVID-19, remdesivir treatment was not associated with improved survival but was associated with longer hospital stays.",1,1
26349,1358820479629479936,"Remdesivir is a broad-spectrum antiviral drug used to treat #COVID19 patients. (Photo courtesy of Force Health Protection Division, @USAMMDA) #ArmyALT ",USAASC,Virginia,0,False,2021-02-08,55,2,"Remdesivir is a broad-spectrum antiviral drug used to treat @USER patients. (Photo courtesy of Force Health Protection Division, @USER) @USER",2,0
26772,1283410736975413249,"7/ ...# pediatric hospital admissions for confirmed COVID and suspected COVID, # of emergency dept visits, # of ED visits for COVID, remdesivir use and stocks, critical staffing shortages, PPE &amp; ventilator supplies on hand, and medication and supply shortages.",celinegounder,New York,0,False,2020-07-15,26,1,"7/ ...# pediatric hospital admissions for confirmed COVID and suspected COVID, # of emergency dept visits, # of ED visits for COVID, remdesivir use and stocks, critical staffing shortages, PPE &amp; ventilator supplies on hand, and medication and supply shortages.",0,0
18401,1400937503960571904,@raoult_didier We in healthcare new this the whole time. But politics forced administration and over reaching government to forbid even outlaw efficacious treatment for covid. They pushed remdesivir because years spent trying to find a way to use it was costing big pharma money.,TBearclaw79,Florida,2,False,2021-06-04,72,2,@USER We in healthcare new this the whole time. But politics forced administration and over reaching government to forbid even outlaw efficacious treatment for covid. They pushed remdesivir because years spent trying to find a way to use it was costing big pharma money.,2,2
19260,1253446689349726208,Hopes dashed as coronavirus drug remdesivir fails first trial  ,Covensure,Michigan,1,False,2020-04-23,14,1,Hopes dashed as coronavirus drug remdesivir fails first trial,1,1
36391,1264422841606270976,"Results from the remdesivir COVID-19 trial are out, and it’s good news ",SRGUO,California,0,False,2020-05-24,18,1,"Results from the remdesivir COVID-19 trial are out, and it’s good news",2,0
5528,1233899072844517377,@itsSweetThing Israeli company with vaccine is a lab called MIGAL. Gilead Sciences is testing an IV drug for COVID-19 now with the FDA. The drug is called Remdesivir.  Check out the website.,Isaiah58woman,California,0,False,2020-02-29,6,1,@USER Israeli company with vaccine is a lab called MIGAL. Gilead Sciences is testing an IV drug for COVID-19 now with the FDA. The drug is called Remdesivir. Check out the website.,0,0
39871,1312149339729354753,"I'm legitimately gobsmacked. I could see him demanding to go to Walter Reed, and certainly the tools we have that we know are helpful (dexamethasone, remdesivir) seem like good options. But turning any POTUS, into a guinea pig with an unproven drug seems... 😬😖 ",Fenbeast,Maine,1,False,2020-10-02,37,2,"I'm legitimately gobsmacked. I could see him demanding to go to Walter Reed, and certainly the tools we have that we know are helpful (dexamethasone, remdesivir) seem like good options. But turning any POTUS, into a guinea pig with an unproven drug seems... 😬😖",1,1
45297,1256947261663256576,"The US Food and Drug Administration approved the experimental drug remdesivir as treatment for hospitalized patients with severe coronavirus, the agency said Friday.
This is the first authorized therapy for the virus in the country, FDA Commissioner Stephen Hahn said.",jlc898,Texas,2,False,2020-05-03,15,1,"The US Food and Drug Administration approved the experimental drug remdesivir as treatment for hospitalized patients with severe coronavirus, the agency said Friday. This is the first authorized therapy for the virus in the country, FDA Commissioner Stephen Hahn said.",2,2
34196,1316514638251556870,"@YahooNews LERONLIMAB-The Known Covid19 Cure. 
ZERO Viral Load In Days! Pristine Safety!
They All Know It! Let’sGoFDA? UK?
Delayed Approvals=More Death On &amp; On
Remdesivir=OrganDamage/AFIB

Trump?Biden?FirstToMention Leron Is ThePraised Hero
FR24News:(fromForbesMag) 
",WilliamLMonett1,Tennessee,2,False,2020-10-14,39,2,@USER LERONLIMAB-The Known Covid19 Cure. ZERO Viral Load In Days! Pristine Safety! They All Know It! Let’sGoFDA? UK? Delayed Approvals=More Death On &amp; On Remdesivir=OrganDamage/AFIB Trump?Biden?FirstToMention Leron Is ThePraised Hero FR24News:(fromForbesMag),2,2
21105,1263527223321075715,"THOUGHTS?! On May 1st, @US_FDA  issued an emergency-use authorization of #remdesivir, an experimental anti-viral drug. Now, US doctors are now allowed to use the drug to treat patients with severe cases of #COVID19. 
",cn2news,South Carolina,2,False,2020-05-21,18,1,"THOUGHTS?! On May 1st, @USER issued an emergency-use authorization of @USER, an experimental anti-viral drug. Now, US doctors are now allowed to use the drug to treat patients with severe cases of @USER.",2,2
15305,1282917380935442433,@marcorubio Perhaps mandating masks and social distancing weeks ago would have lessened the current demand for Remdesivir?  🤔,cubswin66,California,0,False,2020-07-14,25,1,@USER Perhaps mandating masks and social distancing weeks ago would have lessened the current demand for Remdesivir? 🤔,0,0
